student_id,gender,age,parent_education,family_income_band,travel_time_mins,study_hours_per_week,attendance_rate,past_failures,tutoring,internet_access,sleep_hours,screen_time_hours,extracurricular_hours,discipline_incidents,late_submissions,participation_score,quiz_avg,assignment_avg,midterm_score,behavior_label,final_score,performance_label
14,F,22,high_school,middle,36,14.6,0.95,0,1,1,7.19,6.49,1.96,1,3,54.2,78.7,81.9,51.8,Engaged,72.0,Medium
15,M,20,none,middle,20,1.3,0.663,0,0,1,8.28,3.13,2.87,0,2,39.6,61.7,65.6,50.0,At-Risk,48.5,Low
16,M,22,bachelor,middle,15,12.6,0.836,0,0,1,6.47,0.0,3.41,1,1,52.7,52.9,58.3,64.7,At-Risk,63.4,Medium
17,F,15,bachelor,low,37,3.5,0.803,0,1,1,7.5,3.9,6.16,1,2,85.7,53.1,57.0,84.4,Neutral,74.1,Medium
18,M,19,high_school,middle,39,9.6,0.881,1,0,1,7.55,9.02,0.23,1,1,69.4,82.2,60.5,35.9,Neutral,65.9,Medium
19,F,21,bachelor,low,15,28.2,0.897,1,0,1,5.79,5.9,7.51,1,1,74.0,72.5,78.0,50.4,Engaged,69.0,Medium
20,F,20,bachelor,low,25,11.8,0.852,1,0,1,5.75,3.03,1.57,0,4,55.6,66.3,73.6,63.3,Neutral,61.7,Medium
21,F,22,master,middle,4,4.8,0.848,0,0,0,6.65,4.1,0.0,1,0,72.3,41.0,67.6,95.1,Engaged,71.3,Medium
22,M,18,master,low,9,12.4,0.967,0,0,0,8.23,5.56,1.57,0,0,42.2,66.3,78.1,68.6,Engaged,84.9,High
23,F,20,bachelor,middle,24,6.9,0.89,1,0,1,4.7,0.69,0.58,0,3,79.0,58.2,68.0,43.7,At-Risk,53.5,Medium
24,F,18,master,low,22,4.2,0.864,0,1,1,6.46,2.49,3.04,0,0,47.7,45.6,46.6,41.5,Neutral,44.6,Low
25,F,21,bachelor,low,7,22.6,0.875,0,0,1,8.47,5.0,0.0,0,0,35.4,51.2,50.2,79.7,Neutral,76.3,High
26,M,15,bachelor,middle,11,16.4,1.0,0,0,0,5.42,7.39,2.48,0,1,98.9,74.5,77.6,53.7,Engaged,64.8,Medium
27,M,17,bachelor,low,6,12.1,0.877,1,1,1,8.4,3.32,3.53,0,0,67.0,84.4,46.0,35.4,Neutral,47.7,Low
28,M,15,none,middle,29,7.6,0.809,0,1,1,5.55,7.33,5.17,0,0,66.6,43.0,61.9,80.3,Neutral,69.5,Medium
29,M,20,bachelor,middle,0,8.1,0.669,3,0,1,5.8,2.69,3.56,1,1,37.0,45.2,66.2,66.2,At-Risk,53.8,Medium
30,F,16,master,low,7,19.3,0.717,0,0,1,6.72,0.0,5.04,0,2,74.3,74.5,51.5,36.1,Engaged,55.4,Medium
31,F,17,none,middle,0,11.8,0.813,0,0,0,9.15,5.69,0.99,0,3,78.3,54.6,41.3,33.2,At-Risk,48.5,Low
32,F,21,master,low,28,0.0,0.849,0,0,1,6.13,5.28,2.99,0,0,62.0,71.9,49.2,16.6,Neutral,47.7,Low
33,M,17,master,middle,0,24.5,0.804,1,0,1,4.82,5.67,0.0,0,0,78.3,54.4,39.0,47.6,Engaged,46.2,Low
34,M,16,high_school,low,22,11.1,0.895,0,0,1,5.22,5.59,1.97,0,3,82.6,72.4,77.8,66.1,Engaged,67.7,Medium
35,M,15,bachelor,middle,47,12.1,0.803,2,0,1,8.02,4.58,2.97,0,2,72.9,37.3,74.4,79.2,Neutral,61.0,Medium
36,M,16,master,middle,47,16.5,0.769,0,0,1,5.27,3.68,3.15,1,0,32.5,71.9,55.8,68.5,At-Risk,67.8,Medium
37,M,22,master,middle,0,12.8,0.921,1,0,0,8.33,3.76,0.0,0,1,47.7,24.2,46.1,33.9,Neutral,43.5,Low
38,M,19,high_school,high,26,14.5,0.997,1,0,1,6.98,3.28,1.42,0,3,90.3,78.7,86.7,54.3,Neutral,65.4,Medium
39,M,22,high_school,low,7,7.5,0.749,0,1,0,6.86,3.4,1.7,0,3,66.2,61.4,75.0,88.6,At-Risk,68.2,Medium
40,F,16,bachelor,high,4,2.6,0.884,1,0,1,7.26,0.58,1.34,0,3,66.3,69.9,58.1,49.8,At-Risk,61.4,Medium
41,M,17,high_school,middle,20,11.7,0.669,0,0,0,5.94,1.77,3.65,0,0,52.5,66.3,87.0,75.4,At-Risk,73.2,Medium
42,F,16,high_school,high,40,18.6,0.713,1,0,1,7.07,3.87,1.77,1,1,55.4,31.3,70.2,72.9,Neutral,50.8,Medium
43,F,18,none,high,31,6.1,0.801,1,0,1,5.47,0.0,2.4,0,3,82.9,86.6,73.1,75.2,At-Risk,61.2,Medium
44,M,19,high_school,high,11,5.6,0.973,0,0,1,8.52,0.18,1.22,1,1,87.5,68.0,51.3,68.6,Engaged,71.5,Medium
45,F,21,bachelor,low,33,17.3,0.782,0,0,1,5.67,3.53,4.33,0,0,77.0,75.6,43.7,75.1,Engaged,66.2,Medium
46,F,17,bachelor,middle,0,7.3,0.778,3,1,1,7.43,3.94,4.48,0,1,73.3,47.6,42.9,30.4,At-Risk,41.6,Low
47,M,21,bachelor,middle,11,7.5,0.864,2,0,1,5.66,3.57,1.58,0,3,74.4,66.3,100.0,90.3,At-Risk,81.9,High
48,M,20,bachelor,middle,10,7.8,0.864,0,0,1,6.26,0.0,7.9,0,1,63.9,38.4,54.8,23.9,At-Risk,44.9,Low
49,F,17,high_school,low,23,9.6,0.781,3,0,1,6.45,7.3,0.67,0,0,46.9,64.7,69.0,66.2,At-Risk,60.4,Medium
50,M,22,high_school,high,19,0.6,1.0,0,0,1,10.0,1.33,4.21,0,1,43.7,45.1,75.4,59.0,Engaged,63.9,Medium
51,M,18,none,low,20,6.8,0.833,0,0,1,6.88,2.56,0.3,1,3,84.7,100.0,67.7,47.5,At-Risk,61.2,Medium
52,M,16,high_school,middle,19,11.4,0.871,0,0,1,5.91,1.68,3.75,1,4,64.5,72.9,65.5,40.5,Neutral,46.2,Low
53,F,22,high_school,middle,22,11.3,0.82,0,0,1,6.37,6.8,3.59,0,2,72.2,86.0,65.2,71.0,At-Risk,85.3,High
54,F,22,high_school,low,30,16.9,0.904,0,0,1,5.09,5.04,0.18,1,3,68.2,57.5,75.7,76.0,Engaged,68.7,Medium
55,F,15,none,middle,24,21.0,0.983,0,1,1,6.7,3.25,1.94,0,0,68.9,69.2,51.4,57.9,Engaged,62.9,Medium
56,F,22,high_school,low,18,19.1,1.0,0,0,1,9.12,3.11,5.94,0,0,70.2,78.3,61.0,54.2,Engaged,62.4,Medium
57,M,22,bachelor,middle,28,15.5,0.784,0,1,1,7.3,4.56,0.57,0,4,75.5,42.7,31.1,85.6,Neutral,60.4,Medium
58,F,21,bachelor,middle,34,9.1,0.97,1,0,1,7.98,1.71,3.0,1,2,53.5,49.9,38.2,51.6,At-Risk,46.2,Low
59,M,17,master,low,14,6.3,0.915,1,0,1,5.81,4.96,2.87,1,1,82.7,79.5,47.2,59.2,Engaged,53.4,Medium
60,M,20,bachelor,middle,21,10.1,0.957,3,0,1,6.66,3.1,2.12,1,2,53.9,58.1,81.7,55.9,At-Risk,56.9,Medium
61,F,19,bachelor,low,39,13.5,0.851,0,0,1,7.14,5.24,0.0,0,2,68.6,48.5,63.6,100.0,Engaged,72.8,Medium
62,M,19,high_school,middle,5,14.9,0.841,1,0,1,6.03,5.17,3.86,1,2,47.3,50.6,79.2,43.2,Engaged,53.7,Medium
63,F,19,bachelor,high,49,13.7,0.954,0,1,1,7.38,3.01,2.22,0,0,62.5,40.0,74.2,76.6,Engaged,76.4,High
64,F,20,none,low,2,9.3,0.955,0,1,1,7.64,0.09,4.41,1,0,55.1,26.7,72.2,26.0,Neutral,63.8,Medium
65,F,19,high_school,middle,17,14.7,1.0,1,0,1,7.55,3.71,2.66,0,0,65.4,31.5,52.9,40.8,Engaged,43.6,Low
66,F,20,high_school,middle,8,17.6,0.88,0,0,1,6.72,1.3,2.33,0,1,76.0,62.8,69.2,53.8,Neutral,62.2,Medium
67,F,19,high_school,middle,55,15.3,0.849,1,1,0,8.21,4.36,2.95,1,2,66.1,74.1,72.1,57.4,Neutral,61.8,Medium
68,M,15,high_school,middle,14,9.8,0.614,0,1,1,6.59,3.69,0.22,0,1,94.4,100.0,100.0,54.5,Engaged,83.6,High
69,M,15,bachelor,middle,14,5.0,0.699,0,0,1,6.48,3.02,5.32,0,1,76.9,61.3,62.5,58.0,At-Risk,48.8,Low
70,M,22,master,middle,16,4.9,0.821,0,0,1,8.63,1.61,1.45,0,0,61.6,39.0,79.7,46.2,At-Risk,66.3,Medium
71,M,22,bachelor,low,23,5.9,0.75,0,0,1,5.57,6.57,1.47,0,4,63.7,61.5,66.0,85.8,Neutral,59.7,Medium
72,M,19,bachelor,middle,17,11.5,0.941,0,0,1,4.86,3.29,4.78,1,1,70.7,74.7,56.8,40.0,Engaged,52.9,Medium
73,F,16,bachelor,high,20,13.1,0.729,0,0,1,5.86,8.91,2.69,1,3,75.6,80.5,81.9,74.9,At-Risk,74.9,Medium
74,M,21,none,low,0,1.5,0.81,0,0,1,7.36,4.27,1.73,0,2,46.5,78.8,98.3,73.6,At-Risk,90.5,High
75,M,16,bachelor,middle,23,7.0,0.814,1,0,1,8.44,4.9,3.03,0,1,74.5,72.3,72.2,41.0,At-Risk,55.2,Medium
76,M,18,bachelor,low,22,11.5,0.98,0,0,1,6.11,4.28,3.45,0,2,46.9,63.7,57.1,52.7,At-Risk,58.4,Medium
77,M,17,high_school,middle,38,4.6,0.799,0,0,1,9.08,4.88,1.96,0,1,73.1,75.3,75.5,60.0,At-Risk,72.0,Medium
78,F,15,high_school,middle,42,12.6,0.905,0,0,1,6.93,6.39,4.04,0,0,81.5,40.7,72.5,93.5,Engaged,68.6,Medium
79,F,21,master,middle,19,8.2,0.88,0,0,1,6.76,6.41,0.0,0,3,69.5,25.9,100.0,52.6,Neutral,62.3,Medium
80,F,19,bachelor,low,34,5.7,0.95,0,0,1,5.88,0.67,2.72,1,1,30.1,99.7,79.9,100.0,Engaged,80.6,High
81,F,17,bachelor,middle,5,10.3,0.945,0,0,1,9.24,5.91,3.8,0,1,38.3,61.2,53.1,75.4,At-Risk,61.8,Medium
82,M,19,bachelor,high,34,12.4,0.857,1,1,1,6.72,5.19,3.44,1,2,73.4,71.6,88.4,66.9,Neutral,82.2,High
83,F,15,high_school,middle,13,4.9,0.69,0,0,1,5.3,4.27,0.0,0,2,28.2,11.6,80.4,77.7,At-Risk,64.1,Medium
84,M,18,bachelor,middle,4,8.5,0.837,1,0,1,9.85,7.63,1.95,0,2,74.1,89.8,83.0,25.6,At-Risk,60.4,Medium
85,M,19,high_school,middle,19,12.8,0.858,0,0,1,7.37,7.71,0.0,0,2,79.8,82.8,75.1,83.4,Engaged,72.5,Medium
86,M,17,high_school,middle,43,5.4,0.889,0,1,1,7.86,6.01,4.77,0,1,82.0,33.8,84.1,33.5,Neutral,57.6,Medium
87,F,21,bachelor,middle,25,0.1,0.786,0,0,1,8.92,3.11,1.42,2,3,61.4,56.3,75.0,77.4,At-Risk,57.2,Medium
88,M,16,none,low,44,0.8,0.974,0,0,1,7.64,1.82,4.55,1,1,71.6,66.8,63.9,48.1,Neutral,59.9,Medium
89,M,16,bachelor,low,11,7.5,0.861,0,0,1,8.07,5.71,0.0,1,1,68.1,39.3,70.1,44.0,Neutral,51.5,Medium
90,F,19,high_school,middle,38,2.1,0.768,0,0,1,6.97,6.92,2.98,0,1,42.9,70.8,66.1,95.5,At-Risk,73.5,Medium
91,M,22,bachelor,high,12,7.9,0.814,0,1,1,7.78,0.14,2.22,1,0,76.2,80.8,73.5,58.0,Neutral,72.4,Medium
92,F,18,bachelor,high,25,20.0,1.0,0,0,1,6.86,6.37,7.73,0,1,85.9,67.8,69.3,29.4,Engaged,62.2,Medium
93,M,15,bachelor,high,25,1.7,0.926,0,1,1,6.88,3.69,4.56,1,3,75.3,33.8,63.0,79.5,At-Risk,56.2,Medium
94,M,22,bachelor,middle,32,8.3,0.965,1,0,1,7.04,0.58,4.43,0,1,57.5,43.3,65.1,35.6,Neutral,56.2,Medium
95,M,18,master,low,26,22.8,0.756,1,1,1,6.42,5.14,6.26,0,1,76.1,59.8,67.9,87.2,Engaged,78.7,High
96,F,16,bachelor,middle,11,12.4,0.791,0,1,1,7.51,6.02,2.77,0,0,84.5,57.5,39.5,59.7,Engaged,70.2,Medium
97,M,19,bachelor,high,35,7.8,0.792,0,0,1,7.5,3.5,2.0,0,2,82.5,57.9,84.4,34.5,Neutral,62.1,Medium
98,M,17,bachelor,middle,48,9.1,0.878,0,0,1,7.88,2.09,1.77,0,0,80.4,57.2,73.6,76.4,Neutral,80.6,High
99,M,22,high_school,middle,13,12.6,0.843,1,0,1,7.67,7.62,2.86,0,2,41.1,29.5,58.2,70.4,At-Risk,58.7,Medium
100,F,17,high_school,middle,0,20.2,0.811,0,0,0,9.3,2.86,0.0,0,1,71.0,76.5,77.5,17.5,Engaged,59.8,Medium
101,F,19,high_school,middle,29,6.8,0.824,0,1,0,8.16,6.52,2.2,0,2,74.7,73.3,59.9,58.7,Neutral,58.8,Medium
102,F,19,high_school,high,17,5.5,0.781,3,0,1,6.65,1.17,2.65,0,2,80.6,71.4,59.9,66.0,At-Risk,62.3,Medium
103,M,16,high_school,middle,20,1.7,0.842,0,0,1,7.44,5.03,1.89,0,2,72.7,69.7,74.0,64.8,At-Risk,70.6,Medium
104,F,18,high_school,middle,30,10.6,0.971,0,0,0,8.6,4.98,0.0,0,1,88.3,56.9,90.9,56.3,Engaged,82.4,High
105,F,15,bachelor,low,15,1.6,0.709,1,0,0,5.76,5.95,1.9,0,2,37.6,51.1,72.5,74.9,At-Risk,67.7,Medium
106,F,20,high_school,middle,18,7.2,0.895,2,0,1,9.32,7.19,0.0,0,2,73.4,43.7,55.6,71.4,Engaged,60.1,Medium
107,M,21,master,low,20,4.5,0.998,0,1,0,5.97,2.57,5.75,1,2,72.2,89.8,62.4,60.6,Neutral,68.8,Medium
108,M,22,high_school,high,44,16.4,0.842,0,0,1,7.98,5.24,1.69,0,2,78.5,61.6,81.6,55.3,Neutral,68.4,Medium
109,M,17,bachelor,middle,22,6.9,0.807,0,0,1,6.91,1.47,0.0,0,2,88.1,32.1,74.5,63.0,Engaged,47.5,Low
110,F,17,none,middle,3,12.4,0.952,0,0,1,6.84,1.44,1.79,0,3,51.7,61.5,83.4,47.9,Neutral,68.8,Medium
111,M,19,bachelor,low,4,0.4,0.762,0,0,1,5.34,3.04,3.99,0,0,87.6,24.5,74.3,39.5,At-Risk,58.9,Medium
112,M,20,none,middle,24,10.8,0.858,0,0,0,7.99,5.02,2.55,0,0,77.2,66.5,80.3,37.5,Engaged,72.9,Medium
113,M,22,bachelor,middle,5,2.8,0.756,0,0,1,5.35,7.55,0.37,0,1,62.2,64.6,100.0,58.0,At-Risk,73.0,Medium
114,F,15,high_school,low,0,7.4,0.673,1,0,1,5.17,7.92,0.84,0,4,51.4,52.2,46.4,42.8,At-Risk,31.5,Low
115,M,16,master,high,32,23.3,0.845,2,0,0,8.29,3.49,1.63,0,1,67.9,45.1,100.0,56.8,At-Risk,62.5,Medium
116,F,17,high_school,middle,32,15.6,0.734,1,0,1,9.05,4.81,1.32,1,0,69.3,72.1,83.0,86.6,Neutral,76.2,High
117,F,17,bachelor,middle,16,9.2,0.859,0,0,1,6.1,6.09,0.0,0,1,70.1,60.5,100.0,55.9,Neutral,76.9,High
118,F,18,high_school,low,26,29.2,0.972,0,0,1,8.1,5.73,2.06,0,1,55.6,27.0,52.3,62.8,Engaged,40.4,Low
119,M,21,bachelor,middle,25,4.5,1.0,0,0,0,7.86,3.86,0.0,0,3,74.1,83.7,74.1,55.4,Neutral,69.9,Medium
120,F,15,bachelor,middle,31,17.0,0.869,0,0,1,6.79,4.35,4.1,1,1,58.9,45.1,70.6,86.1,Neutral,62.1,Medium
121,F,21,high_school,high,31,0.8,0.962,0,0,1,8.5,3.98,4.34,0,2,83.2,38.3,82.1,93.2,Neutral,82.6,High
122,F,19,high_school,low,0,8.5,0.9,1,0,1,6.7,3.78,0.19,0,1,90.7,86.5,75.5,50.6,Neutral,54.7,Medium
123,M,19,high_school,high,18,1.9,0.822,0,1,1,7.52,3.52,0.77,1,1,52.8,81.1,73.7,74.6,At-Risk,83.5,High
124,M,20,high_school,middle,30,11.5,0.668,0,0,0,5.4,3.96,1.35,0,3,65.9,54.4,80.5,100.0,At-Risk,74.5,Medium
125,M,15,phd,low,16,10.3,1.0,0,1,1,5.45,3.39,2.14,0,3,79.6,39.5,66.3,36.8,Engaged,41.8,Low
126,F,20,high_school,low,23,8.2,0.755,3,0,1,8.3,1.93,2.71,0,0,69.1,45.6,59.7,79.6,Neutral,66.3,Medium
127,M,16,none,low,33,16.6,0.998,0,0,1,7.56,5.93,3.13,0,0,44.7,54.1,75.3,25.2,Engaged,65.5,Medium
128,M,19,master,high,23,6.6,0.914,0,0,1,6.73,5.23,3.08,0,0,78.0,83.9,59.7,60.6,Neutral,76.7,High
129,M,20,none,low,45,12.0,0.762,0,1,1,9.19,7.95,5.31,1,1,55.9,85.3,66.0,57.2,Neutral,70.6,Medium
130,F,19,high_school,middle,39,14.9,0.891,2,1,1,9.18,4.94,2.32,0,3,68.0,65.0,44.9,25.9,Neutral,39.6,Low
131,M,17,bachelor,middle,20,1.1,1.0,0,0,1,7.43,3.37,0.0,1,1,50.1,73.7,68.9,81.8,Neutral,75.3,High
132,F,18,master,high,19,5.5,1.0,0,0,1,5.15,2.95,0.0,0,2,76.9,58.2,53.1,63.0,Neutral,63.3,Medium
133,F,18,bachelor,middle,0,10.3,0.809,1,1,1,6.77,4.29,5.47,0,0,58.7,46.3,67.5,41.5,Neutral,53.0,Medium
134,M,15,bachelor,middle,17,13.8,0.789,0,1,1,5.9,5.31,3.22,1,3,78.5,35.0,50.6,66.6,Engaged,48.0,Low
135,F,20,phd,low,2,18.5,0.87,0,1,1,7.01,3.71,2.61,0,0,61.8,67.8,67.7,78.1,Engaged,78.7,High
136,M,15,none,high,25,8.7,0.843,2,0,1,5.78,1.26,3.1,0,1,57.8,78.2,82.4,24.6,At-Risk,59.4,Medium
137,F,18,phd,low,24,8.1,0.98,0,0,1,5.46,2.72,2.52,0,2,71.2,52.8,58.5,0.0,Engaged,47.0,Low
138,F,20,master,low,32,4.8,0.934,0,0,1,4.18,4.24,3.07,1,2,48.9,83.4,53.1,59.2,At-Risk,72.5,Medium
139,F,15,master,high,43,12.0,0.691,0,0,1,7.1,5.68,1.45,0,0,92.0,55.1,80.5,44.6,Neutral,67.4,Medium
140,M,22,high_school,low,22,8.2,0.906,0,0,1,4.14,1.23,4.31,0,0,67.8,63.5,82.6,86.8,Neutral,73.0,Medium
141,F,18,high_school,low,56,8.4,0.842,0,0,0,6.52,4.73,1.15,0,0,56.5,58.0,74.8,52.6,Engaged,64.8,Medium
142,F,15,bachelor,middle,25,9.4,0.864,1,0,1,7.73,4.64,0.39,1,3,59.0,84.3,60.6,66.2,Neutral,66.4,Medium
143,F,20,bachelor,low,2,13.3,0.885,1,0,1,6.03,3.3,0.0,0,2,65.3,70.9,57.9,56.3,Engaged,64.1,Medium
144,F,19,bachelor,low,14,6.6,0.98,0,0,1,5.6,3.03,1.72,0,0,79.9,60.9,62.7,29.1,Engaged,60.8,Medium
145,M,20,master,middle,16,5.4,0.958,1,0,1,6.82,2.73,4.74,1,1,51.6,63.4,67.1,60.6,Neutral,62.0,Medium
146,M,21,bachelor,middle,31,12.6,0.785,3,1,0,5.91,4.48,1.29,0,0,59.5,40.6,40.4,33.5,Neutral,34.7,Low
147,M,18,high_school,middle,8,0.0,0.854,0,0,1,7.12,6.45,0.0,0,1,64.3,21.8,52.3,32.5,At-Risk,47.1,Low
148,F,21,high_school,low,18,6.4,0.815,1,0,1,5.66,6.6,2.77,1,1,88.1,52.4,88.0,38.0,Neutral,61.0,Medium
149,M,17,high_school,middle,20,3.1,0.692,3,0,0,6.77,1.95,0.9,0,2,80.0,58.5,71.3,36.3,At-Risk,49.6,Low
150,M,19,high_school,middle,15,17.2,0.849,1,0,1,6.48,3.83,5.3,0,0,88.9,71.6,87.6,55.8,Engaged,67.1,Medium
151,F,16,high_school,low,34,7.4,1.0,0,0,1,6.89,0.0,4.35,0,2,65.5,59.1,84.3,52.2,Engaged,80.5,High
152,F,19,master,low,32,6.6,0.689,1,1,1,8.86,4.42,0.0,0,1,86.5,53.6,63.0,65.7,At-Risk,63.0,Medium
153,M,17,bachelor,low,39,9.7,0.858,0,0,1,7.14,5.4,1.85,0,2,84.0,8.9,63.2,28.5,Neutral,39.0,Low
154,F,20,bachelor,middle,17,6.4,0.854,0,0,0,7.51,7.34,0.69,0,3,75.5,71.5,83.5,55.0,Neutral,70.6,Medium
155,M,21,high_school,low,40,7.6,0.889,0,0,1,6.15,0.63,0.0,0,2,76.7,65.8,80.1,50.4,At-Risk,65.7,Medium
156,F,21,bachelor,middle,2,10.6,0.764,0,0,1,7.17,2.02,2.09,0,0,56.1,76.6,83.8,64.0,Neutral,67.6,Medium
157,M,22,master,high,1,7.5,0.717,0,0,1,6.57,4.49,3.84,0,2,92.4,62.5,67.8,65.0,Neutral,65.8,Medium
158,F,15,master,low,4,7.4,0.722,0,0,1,6.94,0.96,2.04,0,1,61.3,82.6,70.3,63.1,Neutral,61.7,Medium
159,F,16,bachelor,middle,22,3.9,0.993,0,0,1,7.68,4.54,1.17,1,0,73.4,52.1,63.9,40.2,Engaged,56.8,Medium
160,F,22,master,low,40,3.1,0.762,1,0,1,6.3,5.45,0.0,0,1,75.2,61.3,67.1,60.5,Neutral,51.5,Medium
161,M,18,bachelor,low,13,10.4,0.81,0,0,1,6.42,1.64,0.87,1,1,44.4,66.3,57.0,49.7,Neutral,44.4,Low
162,F,15,bachelor,middle,15,11.8,1.0,0,0,1,6.32,4.47,3.3,1,0,64.2,73.9,66.8,86.3,Engaged,80.2,High
163,M,17,master,middle,19,1.4,0.787,0,0,1,6.29,1.78,0.0,0,2,68.1,69.5,65.4,62.2,At-Risk,58.2,Medium
164,M,21,high_school,high,31,14.6,0.894,0,0,1,7.11,6.95,4.77,0,0,63.3,70.6,60.7,61.6,Engaged,68.9,Medium
165,F,17,high_school,middle,15,14.6,0.966,0,0,1,6.46,4.61,1.03,1,0,64.4,66.8,80.7,34.4,Engaged,64.7,Medium
166,M,15,high_school,low,14,15.8,0.962,0,0,1,8.7,2.92,2.59,0,1,87.4,58.5,45.4,48.2,Engaged,54.5,Medium
167,F,20,bachelor,middle,2,11.8,0.727,0,0,1,10.0,1.72,1.4,0,1,52.6,78.2,73.4,65.2,Neutral,67.3,Medium
168,F,16,bachelor,low,13,13.8,0.789,2,0,1,6.22,4.98,0.0,0,4,46.0,31.9,53.3,58.4,At-Risk,42.3,Low
169,M,17,bachelor,high,40,23.1,0.89,0,0,1,7.25,6.92,3.08,0,1,56.2,50.7,54.4,58.2,Engaged,53.1,Medium
170,F,15,high_school,middle,23,8.2,1.0,0,1,1,8.15,2.66,1.0,0,4,76.2,90.7,55.8,24.9,Neutral,64.3,Medium
171,M,19,high_school,low,11,3.7,0.784,1,0,1,6.58,3.32,0.53,0,1,77.6,49.9,75.5,43.7,Neutral,53.5,Medium
172,F,18,master,middle,41,0.8,0.811,0,0,0,5.71,2.7,0.0,0,1,74.1,60.6,31.9,54.5,Neutral,48.3,Low
173,M,21,high_school,middle,13,20.5,0.902,0,0,1,8.99,7.31,4.81,0,1,78.7,87.0,70.7,84.0,Engaged,84.2,High
174,F,17,master,middle,43,20.6,0.922,0,0,1,7.72,0.38,2.21,0,2,68.8,59.7,68.7,22.2,Engaged,49.1,Low
175,M,16,high_school,low,43,4.5,0.928,0,0,1,7.28,6.77,4.41,1,0,57.2,47.0,52.5,39.1,Engaged,39.2,Low
176,M,16,bachelor,low,23,5.6,0.775,0,0,1,8.64,3.45,3.44,0,1,50.8,83.6,70.9,22.0,At-Risk,52.7,Medium
177,M,16,bachelor,low,0,8.1,0.807,1,0,1,7.82,4.06,4.41,1,0,46.1,56.8,48.6,66.5,Neutral,61.9,Medium
178,Other,18,master,middle,56,17.3,0.882,0,0,0,6.84,3.52,1.07,0,3,61.6,58.0,67.3,83.7,Engaged,69.5,Medium
179,F,15,high_school,middle,28,2.3,0.986,1,0,1,5.73,4.68,0.0,0,3,76.8,26.4,48.0,67.2,Neutral,49.7,Low
180,F,18,master,low,17,0.0,0.836,0,0,1,6.31,2.74,3.73,1,0,68.6,59.7,100.0,71.5,At-Risk,80.3,High
181,F,21,bachelor,middle,36,23.0,0.858,1,0,1,8.35,6.32,2.46,0,1,65.3,74.3,81.8,39.4,Engaged,74.8,Medium
182,F,21,bachelor,middle,33,11.9,0.757,0,0,1,7.72,6.4,1.27,0,1,49.2,54.2,71.9,67.4,At-Risk,53.1,Medium
183,F,20,bachelor,low,42,12.7,1.0,0,0,0,6.68,2.23,3.69,2,1,100.0,38.9,52.7,44.6,Engaged,47.4,Low
184,M,22,none,high,12,8.8,0.875,0,1,0,9.02,5.53,2.82,1,1,52.6,53.4,63.6,61.2,Neutral,63.7,Medium
185,F,21,bachelor,middle,27,12.8,0.968,0,0,1,6.71,3.49,3.48,1,4,66.8,50.9,64.3,70.0,Neutral,60.6,Medium
186,F,20,high_school,middle,4,0.9,0.863,0,0,1,8.09,4.3,0.16,1,0,80.0,57.4,71.9,54.2,Neutral,68.0,Medium
187,M,21,high_school,middle,32,5.0,0.869,0,1,1,7.16,7.25,4.16,0,0,65.6,52.7,74.4,76.4,Neutral,78.8,High
